订单编号,订单状态,下单时间,支付时间,发货时间,商品型号,商品件数,商品ID,SKU ID
"	819699396876564",待发货,11/13/2022 20:44,11/13/2022 20:45,,桃木褐36号,1,5730170770,85770385839
"	819699012788048",已发货,11/13/2022 20:43,11/13/2022 20:43,11/15/2022 19:06,狐狸灰36号,1,5730170770,85770539838
"	819698748969658",已关闭,11/13/2022 20:03,,,桃木褐34号,1,5730170770,85770385837
"	819698079600420",已发货,11/13/2022 18:54,11/13/2022 18:55,11/14/2022 13:07,狐狸灰36号,1,5730170770,85770539838
"	819698112155428",已发货,11/13/2022 18:47,11/13/2022 18:48,11/14/2022 13:07,桃木褐34号,1,5730170770,85770385837
"	819690006854477",已发货,11/13/2022 18:43,11/13/2022 18:50,11/14/2022 13:31,桃木褐34号,1,5730170770,85770385837
"	819697770714526",已发货,11/13/2022 18:31,11/13/2022 19:07,11/15/2022 23:51,狐狸灰36号;桃木褐36号,1;1,5730170770;5730170770,85770539838;85770385839
"	819698265593246",已关闭,11/13/2022 18:26,11/13/2022 18:26,,狐狸灰36号,1,5730170770,85770539838
"	819698122757916",已关闭,11/13/2022 18:15,11/13/2022 18:15,,桃木褐34号,1,5730170770,85770385837
"	819697925391462",已发货,11/13/2022 17:54,11/13/2022 17:59,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819689549441319",待发货,11/13/2022 17:26,11/13/2022 17:26,,桃木褐34号,1,5730170770,85770385837
"	819689532702453",已关闭,11/13/2022 17:17,11/13/2022 17:17,,桃木褐34号,1,5730170770,85770385837
"	819697744092917",已关闭,11/13/2022 17:16,,,桃木褐34号,1,5730170770,85770385837
"	819689415930554",待发货,11/13/2022 16:54,11/13/2022 16:54,,桃木褐34号,1,5730170770,85770385837
"	819689098753121",已发货,11/13/2022 16:39,11/13/2022 16:40,11/14/2022 13:13,狐狸灰36号,1,5730170770,85770539838
"	819697593996702",已关闭,11/13/2022 16:08,11/13/2022 16:10,,桃木褐36号,1,5730170770,85770385839
"	819697481652744",已发货,11/13/2022 16:06,11/13/2022 16:06,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819689156813892",已发货,11/13/2022 16:04,11/13/2022 16:04,11/14/2022 13:07,桃木褐36号;狐狸灰36号,1;1,5730170770;5730170770,85770385839;85770539838
"	819697350280260",已关闭,11/13/2022 15:56,11/13/2022 15:56,,桃木褐36号,1,5730170770,85770385839
"	819688928752391",已发货,11/13/2022 15:50,11/13/2022 15:56,11/15/2022 19:06,狐狸灰36号,1,5730170770,85770539838
"	819688705897223",已关闭,11/13/2022 15:44,,,狐狸灰36号,1,5730170770,85770539838
"	819688360490324",已发货,11/13/2022 14:45,11/13/2022 14:45,11/14/2022 13:13,狐狸灰36号,1,5730170770,85770539838
"	819696731590044",已关闭,11/13/2022 14:37,11/13/2022 14:37,,桃木褐36号,1,5730170770,85770385839
"	819696525971111",已发货,11/13/2022 14:37,11/13/2022 14:37,11/14/2022 13:09,狐狸灰30号,1,5730170770,85770539832
"	819696375241311",已发货,11/13/2022 14:30,11/13/2022 14:35,11/14/2022 13:11,狐狸灰32号,1,5730170770,85770539834
"	819688471620538",已关闭,11/13/2022 14:30,,,桃木褐32号,1,5730170770,85770385835
"	819688438592636",已发货,11/13/2022 14:30,11/13/2022 14:30,11/14/2022 13:12,狐狸灰34号,1,5730170770,85770539836
"	819696875704494",已发货,11/13/2022 14:27,11/13/2022 14:27,11/14/2022 13:06,桃木褐32号,1,5730170770,85770385835
"	819696681389538",已发货,11/13/2022 14:24,11/13/2022 14:25,11/14/2022 13:11,狐狸灰32号,1,5730170770,85770539834
"	819688308716138",已发货,11/13/2022 14:22,11/13/2022 14:23,11/14/2022 13:07,桃木褐36号,1,5730170770,85770385839
"	819696938799088",已关闭,11/13/2022 14:20,,,狐狸灰34号,1,5730170770,85770539836
"	819696841920475",已发货,11/13/2022 14:17,11/13/2022 14:17,11/14/2022 13:12,狐狸灰32号,1,5730170770,85770539834
"	819688517383244",待发货,11/13/2022 14:13,11/13/2022 14:13,,桃木褐30号,1,5730170770,85770385833
"	819696536932315",已关闭,11/13/2022 14:12,11/13/2022 14:12,,桃木褐30号,1,5730170770,85770385833
"	819696969963950",已发货,11/13/2022 14:12,11/13/2022 14:12,11/14/2022 13:12,狐狸灰34号,1,5730170770,85770539836
"	819688581096524",已关闭,11/13/2022 14:10,,,狐狸灰30号,1,5730170770,85770539832
"	819696727376972",已关闭,11/13/2022 14:09,,,狐狸灰30号,1,5730170770,85770539832
"	819688086365324",已发货,11/13/2022 13:58,11/13/2022 13:58,11/14/2022 13:13,狐狸灰36号,1,5730170770,85770539838
"	819688255076503",已关闭,11/13/2022 13:49,,,桃木褐34号,1,5730170770,85770385837
"	819688318775060",已完成,11/13/2022 13:48,11/13/2022 13:48,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819696388758479",已关闭,11/13/2022 13:23,,,桃木褐34号,1,5730170770,85770385837
"	819687661611999",已发货,11/13/2022 13:17,11/13/2022 13:18,11/14/2022 13:12,狐狸灰32号,1,5730170770,85770539834
"	819696178617664",已发货,11/13/2022 13:17,11/13/2022 13:18,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819696480470222",已关闭,11/13/2022 13:08,11/13/2022 13:12,,桃木褐34号,1,5730170770,85770385837
"	819687737406440",已发货,11/13/2022 12:49,11/13/2022 12:50,11/14/2022 13:07,桃木褐34号,1,5730170770,85770385837
"	819687655205103",已完成,11/13/2022 12:38,11/13/2022 12:38,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819696107708336",已发货,11/13/2022 12:35,11/13/2022 12:35,11/15/2022 11:32,桃木褐34号,1,5730170770,85770385837
"	819688041444024",已发货,11/13/2022 12:30,11/13/2022 12:30,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819687991244154",待发货,11/13/2022 12:25,11/13/2022 12:25,,桃木褐34号,1,5730170770,85770385837
"	819696298449153",已发货,11/13/2022 12:17,11/13/2022 12:18,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819696297675812",已发货,11/13/2022 12:12,11/13/2022 13:22,11/14/2022 13:07,桃木褐36号,1,5730170770,85770385839
"	819695914540581",已关闭,11/13/2022 12:07,,,桃木褐36号,1,5730170770,85770385839
"	819695820294311",已发货,11/13/2022 12:05,11/13/2022 12:05,11/14/2022 13:12,狐狸灰32号,1,5730170770,85770539834
"	819686988621998",已发货,11/13/2022 11:57,11/13/2022 11:58,11/14/2022 13:07,桃木褐36号,1,5730170770,85770385839
"	819695753960201",已关闭,11/13/2022 11:56,11/13/2022 11:57,,狐狸灰36号,1,5730170770,85770539838
"	819695926614905",已关闭,11/13/2022 11:56,,,狐狸灰36号,1,5730170770,85770539838
"	819687711974244",已发货,11/13/2022 11:48,11/13/2022 11:48,11/14/2022 13:13,狐狸灰36号,1,5730170770,85770539838
"	819687315533163",已发货,11/13/2022 11:47,11/13/2022 11:49,11/15/2022 19:06,狐狸灰36号,1,5730170770,85770539838
"	819687202977984",已发货,11/13/2022 11:46,11/13/2022 11:46,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819695941486059",已发货,11/13/2022 11:42,11/13/2022 11:43,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819687378564475",已发货,11/13/2022 11:36,11/13/2022 11:36,11/14/2022 13:13,狐狸灰36号,1,5730170770,85770539838
"	819687329248271",已发货,11/13/2022 11:34,11/13/2022 11:34,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819695909389803",已关闭,11/13/2022 11:34,,,桃木褐34号,1,5730170770,85770385837
"	819695620883865",已关闭,11/13/2022 11:33,,,桃木褐34号,1,5730170770,85770385837
"	819695862187499",已关闭,11/13/2022 11:33,,,桃木褐34号,1,5730170770,85770385837
"	819695637072176",待发货,11/13/2022 11:33,11/13/2022 11:33,,狐狸灰36号,1,5730170770,85770539838
"	819687361591903",已关闭,11/13/2022 11:31,11/13/2022 11:32,,桃木褐32号,1,5730170770,85770385835
"	819687377761954",已发货,11/13/2022 11:31,11/13/2022 11:32,11/14/2022 13:07,桃木褐34号,1,5730170770,85770385837
"	819687328362408",已关闭,11/13/2022 11:28,11/13/2022 11:28,,桃木褐32号,1,5730170770,85770385835
"	819695877014982",待发货,11/13/2022 11:27,11/13/2022 11:50,,桃木褐32号,1,5730170770,85770385835
"	819695572045929",已关闭,11/13/2022 11:26,,,桃木褐32号,1,5730170770,85770385835
"	819687327919071",待发货,11/13/2022 11:25,11/13/2022 11:25,,桃木褐32号;狐狸灰34号,1;1,5730170770;5730170770,85770385835;85770539836
"	819687038691139",已发货,11/13/2022 11:24,11/13/2022 11:24,11/14/2022 13:12,狐狸灰34号,1,5730170770,85770539836
"	819695748732389",已关闭,11/13/2022 11:22,,,桃木褐34号,1,5730170770,85770385837
"	819695555576592",已关闭,11/13/2022 11:22,11/13/2022 11:22,,桃木褐32号,1,5730170770,85770385835
"	819687167178213",待发货,11/13/2022 11:22,11/13/2022 11:22,,桃木褐34号,1,5730170770,85770385837
"	819695357742047",已关闭,11/13/2022 11:22,11/13/2022 11:22,,桃木褐32号,1,5730170770,85770385835
"	819687311765710",已关闭,11/13/2022 11:21,,,狐狸灰34号,1,5730170770,85770539836
"	819687455635193",已关闭,11/13/2022 11:20,11/13/2022 11:20,,狐狸灰34号,1,5730170770,85770539836
"	819695828273289",待发货,11/13/2022 11:20,11/13/2022 11:20,,桃木褐32号,1,5730170770,85770385835
"	819687327218081",已发货,11/13/2022 11:20,11/13/2022 11:20,11/14/2022 13:06,桃木褐32号,1,5730170770,85770385835
"	819695796684650",已发货,11/13/2022 11:19,11/13/2022 11:20,11/14/2022 13:06,桃木褐32号,1,5730170770,85770385835
"	819687278591494",已发货,11/13/2022 11:19,11/13/2022 11:20,11/14/2022 13:13,狐狸灰36号,1,5730170770,85770539838
"	819695555118188",已发货,11/13/2022 11:19,11/13/2022 11:19,11/14/2022 13:12,狐狸灰34号,1,5730170770,85770539836
"	819695394277226",已关闭,11/13/2022 11:19,11/13/2022 11:19,,狐狸灰34号,1,5730170770,85770539836
"	819687229243289",已关闭,11/13/2022 11:17,,,桃木褐32号,1,5730170770,85770385835
"	819695554827462",已关闭,11/13/2022 11:17,,,狐狸灰34号,1,5730170770,85770539836
"	819695650197689",已关闭,11/13/2022 11:15,11/13/2022 11:16,,狐狸灰34号,1,5730170770,85770539836
"	819695490126211",已发货,11/13/2022 11:14,11/13/2022 11:14,11/14/2022 13:05,桃木褐30号,1,5730170770,85770385833
"	819687277573086",已发货,11/13/2022 11:13,11/13/2022 11:13,11/14/2022 13:06,桃木褐32号,1,5730170770,85770385835
"	819695456552822",已发货,11/13/2022 11:13,11/13/2022 11:13,11/14/2022 13:06,桃木褐32号,1,5730170770,85770385835
"	819687084256670",已发货,11/13/2022 11:12,11/13/2022 14:13,11/14/2022 13:06,桃木褐34号,1,5730170770,85770385837
"	819695746811576",已发货,11/13/2022 11:11,11/13/2022 11:11,11/14/2022 13:32,狐狸灰34号,1,5730170770,85770539836
"	819687132162143",已发货,11/13/2022 11:11,11/13/2022 11:11,11/14/2022 13:06,桃木褐32号,1,5730170770,85770385835
"	819695905477221",已发货,11/13/2022 11:10,11/13/2022 11:10,11/14/2022 13:06,桃木褐32号,1,5730170770,85770385835
"	819695553743639",已发货,11/13/2022 11:09,11/13/2022 11:09,11/14/2022 13:05,桃木褐30号,1,5730170770,85770385833
"	819695810615632",待发货,11/13/2022 11:08,11/13/2022 11:11,,桃木褐32号,1,5730170770,85770385835
"	819695810567631",已关闭,11/13/2022 11:07,11/13/2022 11:07,,桃木褐30号,1,5730170770,85770385833
"	819687181215714",已关闭,11/13/2022 11:07,,,狐狸灰32号,1,5730170770,85770539834
"	819687532819376",已关闭,11/13/2022 11:07,11/13/2022 11:07,,桃木褐30号,1,5730170770,85770385833
"	819687357655148",已发货,11/13/2022 11:07,11/13/2022 11:07,11/14/2022 13:07,桃木褐34号,1,5730170770,85770385837
"	819687373711658",已发货,11/13/2022 11:06,11/13/2022 11:07,11/14/2022 13:05,桃木褐30号,1,5730170770,85770385833
"	819687276144938",已关闭,11/13/2022 11:04,11/13/2022 11:04,,桃木褐32号,1,5730170770,85770385835
"	819687373289561",已关闭,11/13/2022 11:04,,,狐狸灰36号,1,5730170770,85770539838
